ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
3/20/2019,3/20/2019,,,-0.447821685,-0.428747698,-0.41014167,-0.391983672,-0.374254531,-0.356935797,-0.340009726,-0.323459249,-0.307267956,-0.29142007,-0.123065019,0.017682261,0.143241653,0.260712951,0.373850205,0.484370965,0.59281077,0.699069489,0.80275112,1.267157016,1.624167362,1.884447756,2.073346603,2.073346603
3/21/2019,3/21/2019,,,-0.432323109,-0.414424673,-0.396988195,-0.379993843,-0.363422515,-0.347255821,-0.331476056,-0.316066175,-0.301009778,-0.286291085,-0.131025782,-0.002416536,0.112139673,0.219906955,0.3247453,0.428410498,0.531414689,0.633585359,0.734419414,1.198505861,1.567218368,1.841523272,2.042971839,2.042971839
3/22/2019,3/22/2019,,,-0.432436839,-0.41439037,-0.396817389,-0.379697616,-0.363011521,-0.346740292,-0.330865818,-0.315370664,-0.300238048,-0.285451821,-0.129934442,-0.001784722,0.111938332,0.218718253,0.322552362,0.425277733,0.527450205,0.628916343,0.729176545,1.192015886,1.561019055,1.836063903,2.038259716,2.038259716
3/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2019,3/25/2019,,,-0.443391213,-0.425371627,-0.407749606,-0.390509551,-0.373636418,-0.357115697,-0.340933395,-0.325076022,-0.309530574,-0.294284517,-0.130701851,0.007458808,0.130612492,0.245002462,0.354162184,0.459910783,0.563021881,0.663665534,0.761693956,1.202595598,1.547498412,1.803636663,1.992064941,1.992064941
3/26/2019,3/26/2019,,,-0.438366794,-0.422541619,-0.40697096,-0.391644981,-0.376554216,-0.361689553,-0.347042221,-0.332603785,-0.318366128,-0.304321446,-0.148376876,-0.009384116,0.11884773,0.239881998,0.355627116,0.466985872,0.574281398,0.677530453,0.776613497,1.205338548,1.525035701,1.756037264,1.92348662,1.92348662
3/27/2019,3/27/2019,,,-0.42297259,-0.409174559,-0.395601706,-0.382244048,-0.369091991,-0.356136324,-0.343368202,-0.330779134,-0.31836097,-0.306105893,-0.169324541,-0.045394472,0.071491358,0.18441695,0.294788754,0.403027672,0.509018027,0.612391172,0.712698056,1.155985495,1.492983282,1.738446288,1.916991118,1.916991118
3/28/2019,3/28/2019,,,-0.403210007,-0.388600482,-0.374291232,-0.360267297,-0.346514362,-0.333018731,-0.319767305,-0.30674756,-0.293947526,-0.281355764,-0.142981275,-0.019509232,0.096841027,0.209858158,0.321008896,0.430492276,0.537888069,0.642541445,0.74377907,1.18334027,1.505170778,1.732007418,1.893384001,1.893384001
3/29/2019,3/29/2019,,,-0.420645302,-0.40465807,-0.389038334,-0.373768456,-0.358831533,-0.344211376,-0.329892476,-0.315859985,-0.302099692,-0.288597995,-0.142539707,-0.015550812,0.102000996,0.215055694,0.325772329,0.43474604,0.54176538,0.646269048,0.74760904,1.190567455,1.517541817,1.748989736,1.913978056,1.913978056
3/30/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
